NU_ANO_AVALIACAO;CO_UF;SG_UF;TP_SERIE;ID_TIPO_REDE;PC_ALUNO_ALFABETIZADO;VL_MEDIA_LP;PC_ALUNO_NIVEL_0_LP;PC_ALUNO_NIVEL_1_LP;PC_ALUNO_NIVEL_2_LP;PC_ALUNO_NIVEL_3_LP;PC_ALUNO_NIVEL_4_LP;PC_ALUNO_NIVEL_5_LP;PC_ALUNO_NIVEL_6_LP;PC_ALUNO_NIVEL_7_LP;PC_ALUNO_NIVEL_8_LP
2025;32;ES;2;3;76.94;771.3400;2.09;2.82;4.51;6.69;10.54;19.71;26.40;17.04;10.19
2025;32;ES;2;2;83.89;781.9900;0.93;1.60;2.71;5.36;8.49;18.51;28.19;20.18;14.05
2025;33;RJ;2;5;60.01;744.6456;3.27;4.78;9.24;11.72;17.34;28.44;18.54;5.26;1.40
2025;33;RJ;2;3;59.99;744.6169;3.28;4.78;9.25;11.73;17.35;28.44;18.52;5.26;1.40
2025;33;RJ;2;2;81.13;766.9011;0.00;0.00;2.88;8.50;14.38;30.85;34.17;3.37;5.86
2025;35;SP;2;3;59.38;743.3686;8.25;1.11;4.30;12.17;22.44;26.17;18.51;6.28;0.77
2025;35;SP;2;2;64.26;747.8576;7.28;1.87;3.48;10.47;19.82;27.26;21.21;7.69;0.93
2025;35;SP;2;5;60.50;744.4063;8.03;1.29;4.11;11.78;21.83;26.42;19.14;6.60;0.81
2025;41;PR;2;5;79.69;767.8053;1.59;2.39;4.37;5.62;10.43;25.91;31.00;14.22;4.47
2025;41;PR;2;3;79.68;767.7970;1.59;2.39;4.37;5.62;10.43;25.92;31.00;14.22;4.47
2025;41;PR;2;2;83.26;774.6746;1.51;1.24;3.20;4.20;10.13;23.82;30.67;19.09;6.13
2025;42;SC;2;0;63.18;750.2257;3.45;4.41;7.89;11.87;17.58;22.79;17.62;10.20;4.19
2025;42;SC;2;5;63.18;750.2257;3.45;4.41;7.89;11.87;17.58;22.79;17.62;10.20;4.19
2025;42;SC;2;3;64.73;751.9995;3.19;4.14;7.52;11.46;17.37;23.00;18.15;10.71;4.47
2025;42;SC;2;2;57.76;744.0476;4.35;5.37;9.18;13.29;18.31;22.08;15.78;8.41;3.23
2025;43;RS;2;2;52.95;733.9023;10.10;3.72;3.58;12.96;25.07;29.67;13.23;1.63;0.04
2025;43;RS;2;5;52.38;734.3705;9.57;3.16;3.81;13.46;26.15;29.55;12.66;1.59;0.07
2025;43;RS;2;3;52.13;734.5717;9.34;2.93;3.90;13.67;26.61;29.50;12.41;1.57;0.08
2025;50;MS;2;5;65.62;751.7145;2.57;4.09;7.53;10.20;15.52;26.60;23.82;7.73;1.95
2025;50;MS;2;3;65.88;752.0002;2.51;4.04;7.46;10.13;15.50;26.64;23.95;7.80;1.96
2025;50;MS;2;2;51.71;736.1030;5.64;6.90;11.36;13.55;16.21;24.27;16.75;4.08;1.24
2025;51;MT;2;5;74.92;764.2600;2.19;2.98;5.43;7.79;10.71;23.79;27.43;14.48;5.20
2025;51;MT;2;3;75.08;764.4500;2.17;2.96;5.38;7.73;10.70;23.80;27.50;14.54;5.23
2025;51;MT;2;2;60.40;746.3900;4.23;5.40;10.35;12.74;11.75;22.91;21.51;8.90;2.21
2025;52;GO;2;5;80.33;770.4500;1.17;1.81;3.81;7.30;8.69;24.62;31.86;15.46;5.28
2025;52;GO;2;3;80.33;770.4500;1.17;1.81;3.81;7.30;8.69;24.62;31.86;15.46;5.29
2025;52;GO;2;2;84.09;776.4500;0.00;0.00;2.27;6.82;11.36;22.73;34.09;22.73;0.00
2025;53;DF;2;5;64.84;747.3454;2.81;4.07;7.25;8.64;20.04;33.62;18.57;4.08;0.91
2025;53;DF;2;2;64.84;747.3454;2.81;4.07;7.25;8.64;20.04;33.62;18.57;4.08;0.91
